Date,Business Name,Category,Amount
01/01/2024,Starbucks,Food & Beverage,5.75
04/01/2024,Amazon,Retail & Shopping,52.99
07/01/2024,Whole Foods,Home & Personal Care,78.4
10/01/2024,Shell,Travel & Transportation,40.0
13/01/2024,Netflix,Entertainment & Subscriptions,15.99
16/01/2024,Uber,Travel & Transportation,22.5
19/01/2024,Apple Store,Electronics,120.99
22/01/2024,Costco,Retail & Shopping,200.0
25/01/2024,Spotify,Entertainment & Subscriptions,9.99
28/01/2024,Walmart,Retail & Shopping,80.45
31/01/2024,Starbucks,Food & Beverage,5.75
03/02/2024,Amazon,Retail & Shopping,52.99
06/02/2024,Whole Foods,Home & Personal Care,78.4
09/02/2024,Shell,Travel & Transportation,40.0
12/02/2024,Netflix,Entertainment & Subscriptions,15.99
15/02/2024,Uber,Travel & Transportation,22.5
18/02/2024,Apple Store,Electronics,120.99
21/02/2024,Costco,Retail & Shopping,200.0
24/02/2024,Spotify,Entertainment & Subscriptions,9.99
27/02/2024,Walmart,Retail & Shopping,80.45
01/03/2024,Starbucks,Food & Beverage,5.75
04/03/2024,Amazon,Retail & Shopping,52.99
07/03/2024,Whole Foods,Home & Personal Care,78.4
10/03/2024,Shell,Travel & Transportation,40.0
13/03/2024,Netflix,Entertainment & Subscriptions,15.99
16/03/2024,Uber,Travel & Transportation,22.5
19/03/2024,Apple Store,Electronics,120.99
22/03/2024,Costco,Retail & Shopping,200.0
25/03/2024,Spotify,Entertainment & Subscriptions,9.99
28/03/2024,Walmart,Retail & Shopping,80.45
31/03/2024,Starbucks,Food & Beverage,5.75
03/04/2024,Amazon,Retail & Shopping,52.99
06/04/2024,Whole Foods,Home & Personal Care,78.4
09/04/2024,Shell,Travel & Transportation,40.0
12/04/2024,Netflix,Entertainment & Subscriptions,15.99
15/04/2024,Uber,Travel & Transportation,22.5
18/04/2024,Apple Store,Electronics,120.99
21/04/2024,Costco,Retail & Shopping,200.0
24/04/2024,Spotify,Entertainment & Subscriptions,9.99
27/04/2024,Walmart,Retail & Shopping,80.45
30/04/2024,Starbucks,Food & Beverage,5.75
03/05/2024,Amazon,Retail & Shopping,52.99
06/05/2024,Whole Foods,Home & Personal Care,78.4
09/05/2024,Shell,Travel & Transportation,40.0
12/05/2024,Netflix,Entertainment & Subscriptions,15.99
15/05/2024,Uber,Travel & Transportation,22.5
18/05/2024,Apple Store,Electronics,120.99
21/05/2024,Costco,Retail & Shopping,200.0
24/05/2024,Spotify,Entertainment & Subscriptions,9.99
27/05/2024,Walmart,Retail & Shopping,80.45
30/05/2024,Starbucks,Food & Beverage,5.75
02/06/2024,Amazon,Retail & Shopping,52.99
05/06/2024,Whole Foods,Home & Personal Care,78.4
08/06/2024,Shell,Travel & Transportation,40.0
11/06/2024,Netflix,Entertainment & Subscriptions,15.99
14/06/2024,Uber,Travel & Transportation,22.5
17/06/2024,Apple Store,Electronics,120.99
20/06/2024,Costco,Retail & Shopping,200.0
23/06/2024,Spotify,Entertainment & Subscriptions,9.99
26/06/2024,Walmart,Retail & Shopping,80.45
29/06/2024,Starbucks,Food & Beverage,5.75
02/07/2024,Amazon,Retail & Shopping,52.99
05/07/2024,Whole Foods,Home & Personal Care,78.4
08/07/2024,Shell,Travel & Transportation,40.0
11/07/2024,Netflix,Entertainment & Subscriptions,15.99
14/07/2024,Uber,Travel & Transportation,22.5
17/07/2024,Apple Store,Electronics,120.99
20/07/2024,Costco,Retail & Shopping,200.0
23/07/2024,Spotify,Entertainment & Subscriptions,9.99
26/07/2024,Walmart,Retail & Shopping,80.45
29/07/2024,Starbucks,Food & Beverage,5.75
01/08/2024,Amazon,Retail & Shopping,52.99
04/08/2024,Whole Foods,Home & Personal Care,78.4
07/08/2024,Shell,Travel & Transportation,40.0
10/08/2024,Netflix,Entertainment & Subscriptions,15.99
13/08/2024,Uber,Travel & Transportation,22.5
16/08/2024,Apple Store,Electronics,120.99
19/08/2024,Costco,Retail & Shopping,200.0
22/08/2024,Spotify,Entertainment & Subscriptions,9.99
25/08/2024,Walmart,Retail & Shopping,80.45
28/08/2024,Starbucks,Food & Beverage,5.75
31/08/2024,Amazon,Retail & Shopping,52.99
03/09/2024,Whole Foods,Home & Personal Care,78.4
06/09/2024,Shell,Travel & Transportation,40.0
09/09/2024,Netflix,Entertainment & Subscriptions,15.99
12/09/2024,Uber,Travel & Transportation,22.5
15/09/2024,Apple Store,Electronics,120.99
18/09/2024,Costco,Retail & Shopping,200.0
21/09/2024,Spotify,Entertainment & Subscriptions,9.99
24/09/2024,Walmart,Retail & Shopping,80.45
27/09/2024,Starbucks,Food & Beverage,5.75
30/09/2024,Amazon,Retail & Shopping,52.99
03/10/2024,Whole Foods,Home & Personal Care,78.4
06/10/2024,Shell,Travel & Transportation,40.0
09/10/2024,Netflix,Entertainment & Subscriptions,15.99
12/10/2024,Uber,Travel & Transportation,22.5
15/10/2024,Apple Store,Electronics,120.99
18/10/2024,Costco,Retail & Shopping,200.0
21/10/2024,Spotify,Entertainment & Subscriptions,9.99
24/10/2024,Walmart,Retail & Shopping,80.45
27/10/2024,Starbucks,Food & Beverage,5.75
30/10/2024,Amazon,Retail & Shopping,52.99
02/11/2024,Whole Foods,Home & Personal Care,78.4
05/11/2024,Shell,Travel & Transportation,40.0
08/11/2024,Netflix,Entertainment & Subscriptions,15.99
11/11/2024,Uber,Travel & Transportation,22.5
14/11/2024,Apple Store,Electronics,120.99
17/11/2024,Costco,Retail & Shopping,200.0
20/11/2024,Spotify,Entertainment & Subscriptions,9.99
23/11/2024,Walmart,Retail & Shopping,80.45
26/11/2024,Starbucks,Food & Beverage,5.75
29/11/2024,Amazon,Retail & Shopping,52.99
02/12/2024,Whole Foods,Home & Personal Care,78.4
05/12/2024,Shell,Travel & Transportation,40.0
08/12/2024,Netflix,Entertainment & Subscriptions,15.99
11/12/2024,Uber,Travel & Transportation,22.5
14/12/2024,Apple Store,Electronics,120.99
17/12/2024,Costco,Retail & Shopping,200.0
20/12/2024,Spotify,Entertainment & Subscriptions,9.99
23/12/2024,Walmart,Retail & Shopping,80.45
26/12/2024,Starbucks,Food & Beverage,5.75
29/12/2024,Amazon,Retail & Shopping,52.99
01/01/2025,Whole Foods,Home & Personal Care,78.4
04/01/2025,Shell,Travel & Transportation,40.0
07/01/2025,Netflix,Entertainment & Subscriptions,15.99
10/01/2025,Uber,Travel & Transportation,22.5
13/01/2025,Apple Store,Electronics,120.99
